GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
BRK1,-0.08372333333333333,0.8414683014952542,0.9792792327554408,0.009093455332931382,False
TERF1,-0.03322166666666667,0.841502636625772,0.9792792327554408,0.009093455332931382,False
LOC645427,-0.2317,0.841731731252182,0.9792792327554408,0.009093455332931382,False
KLHL12,-0.034699999999999995,0.8418349426965092,0.9792792327554408,0.009093455332931382,False
PRSS47,0.05,0.842,0.9792792327554408,0.009093455332931382,False
HNRNPAB,0.0399,0.842,0.9792792327554408,0.009093455332931382,False
REG3G,-0.0118,0.842,0.9792792327554408,0.009093455332931382,False
ACIN1,-0.0591,0.842,0.9792792327554408,0.009093455332931382,False
HEY1,-0.0439,0.842,0.9792792327554408,0.009093455332931382,False
ZNF853,0.0118,0.842,0.9792792327554408,0.009093455332931382,False
ISCA2,-0.0164,0.842,0.9792792327554408,0.009093455332931382,False
ANXA4,0.0156,0.842,0.9792792327554408,0.009093455332931382,False
UPK3B,-0.0588,0.842,0.9792792327554408,0.009093455332931382,False
OTX2,0.0117,0.842,0.9792792327554408,0.009093455332931382,False
LOC100128081,0.0583,0.842,0.9792792327554408,0.009093455332931382,False
OR2K2,-0.012,0.842,0.9792792327554408,0.009093455332931382,False
TRPM5,0.102,0.842,0.9792792327554408,0.009093455332931382,False
RPS14,-0.035,0.8420575746947232,0.979294590108928,0.009086644648750456,False
C5orf42,0.086455,0.8421198176510188,0.979306963524396,0.009081157360077469,False
DDX17,-0.0323,0.8423919611364362,0.979306963524396,0.009081157360077469,False
COX15,0.0029500000000000012,0.842501944791352,0.979306963524396,0.009081157360077469,False
HSD17B3,0.14135,0.8428914261551865,0.979306963524396,0.009081157360077469,False
ACTR3C,0.04966666666666667,0.8429276770390436,0.979306963524396,0.009081157360077469,False
C19orf47,0.0179,0.843,0.979306963524396,0.009081157360077469,False
LMNB2,-0.114,0.843,0.979306963524396,0.009081157360077469,False
KIAA1024,0.0916,0.843,0.979306963524396,0.009081157360077469,False
SCARNA12,0.0286,0.843,0.979306963524396,0.009081157360077469,False
RAP1A,0.0239,0.843,0.979306963524396,0.009081157360077469,False
LOC100271722,-0.014,0.843,0.979306963524396,0.009081157360077469,False
PCIF1,0.0375,0.843,0.979306963524396,0.009081157360077469,False
C14orf56,-0.0994,0.843,0.979306963524396,0.009081157360077469,False
LOC100133306,-0.196,0.843,0.979306963524396,0.009081157360077469,False
MYLK4,-0.108,0.843,0.979306963524396,0.009081157360077469,False
