GENE_SYMBOL,logFC,P.Value,FDR
FNDC5,0.721,0.00951222,0.6728981013461539
FGF1,-0.23066666666666666,0.029659995427332893,0.9506219254992763
B4GALNT1,0.23,0.00963111,0.6769688815605095
GSTA2,0.361,0.00982677,0.6834087064792008
KLHL2,-0.237,0.00987492,0.6834087064792008
PARK2,0.05250000000000002,0.011742612202915859,0.7404891255158741
ATP6V1B1,0.834,0.00993843,0.6834087064792008
CFL1,0.255,0.0023049705859139466,0.3768370800126424
CCDC18,-0.643,0.00581456033093569,0.5941543854166667
F9,-0.317,0.01001665,0.6855239304216868
ASCL3,0.893,0.01008778,0.6855239304216868
HNF1A-AS1,-0.287,0.01015689,0.6855239304216868
FLJ42102,-1.16,0.01018051,0.6855239304216868
TRPM8,0.19285000000000002,0.05232575433821309,1.0
NIPSNAP3A,-0.247,0.01019647,0.6855239304216868
ZNRF2,-0.414,0.01019734,0.6855239304216868
LOC285626,1.5,0.01025077,0.6855239304216868
ABCA6,-0.443,0.01030769,0.6855239304216868
BCL3,0.26,0.01030863,0.6855239304216868
ADH4,-0.334,0.0103119,0.6855239304216868
KHDRBS3,-0.1641,0.027482238262473542,0.9376456002752294
ASPG,0.513,0.0103769,0.6877734531531531
TNFAIP8,-0.27549999999999997,0.00593346657186317,0.5999109439726028
C20orf54,-1.17,0.01048715,0.6882818427596439
OR8D1,-1.47,0.01049976,0.6882818427596439
SNAR-C4,1.08,0.01050931,0.6882818427596439
BCL7A,0.423,0.0105418,0.6883670644970414
AMOT,-0.18433333333333332,0.07872438156596377,1.0
CXADR,-0.1855,0.01791367821889116,0.8613297354487179
PLA2G4D,-0.549,0.01072351,0.6964380139060886
LOC100288884,0.33999999999999997,0.029407430633273654,0.9506186514641288
CPN1,-0.35,0.01075038,0.6964380139060886
CLMN,0.2885,0.002385517186808759,0.38152717268156616
TNXB,-0.11738333333333334,0.15737679133617746,1.0
GUCA2B,-0.6,0.01097032,0.707970563508772
PTPRJ,0.2185,0.02448817373478599,0.9067228923115578
